Step 1 (143.2 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 2 (23.3 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 3 (62.6 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 4 (14.7 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 5 (15.4 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 6 (8.0 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 7 (9.5 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 8 (7.6 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 9 (9.0 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 10 (5.6 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 11 (6.6 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 12 (7.5 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 13 (7.2 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 14 (7.6 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 15 (8.0 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 16 (8.7 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 17 (7.6 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 18 (8.4 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 19 (8.1 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 20 (9.1 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 21 (9.0 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 22 (8.3 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 23 (8.0 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 24 (4.7 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 25 (8.0 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 26 (8.0 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 27 (7.8 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 28 (8.4 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 29 (8.5 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 30 (8.1 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 31 (7.7 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 32 (8.4 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 33 (8.7 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 34 (8.8 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 35 (1.0 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 36 (23.9 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 37 (30.2 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 38 (22.8 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 39 (9.4 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 40 (9.4 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 41 (9.5 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 42 (9.3 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 43 (9.2 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 44 (9.5 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
