Step 1 (40.6 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 2 (21.3 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 3 (50.1 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 4 (25.1 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 5 (15.0 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 6 (8.4 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 7 (8.3 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 8 (8.9 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 9 (8.6 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 10 (5.9 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 11 (7.1 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 12 (8.1 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 13 (7.8 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 14 (8.6 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 15 (7.6 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 16 (8.6 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 17 (7.9 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 18 (8.5 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 19 (8.7 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 20 (8.0 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 21 (7.4 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 22 (9.8 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 23 (7.7 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 24 (6.2 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 25 (0.7 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 26 (23.3 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 27 (35.8 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 28 (18.9 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 29 (9.1 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 30 (10.0 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 31 (8.2 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 32 (9.5 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 33 (2.0 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 34 (19.7 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 35 (22.3 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 36 (25.7 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 37 (13.7 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 38 (9.0 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 39 (8.3 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 40 (8.2 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 41 (1.2 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 42 (18.9 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 43 (22.8 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 44 (23.3 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 45 (71.6 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 46 (10.3 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 47 (9.0 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 48 (9.2 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 49 (9.5 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 50 (7.9 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 51 (7.3 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 52 (8.2 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 53 (7.5 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 54 (8.1 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 55 (8.9 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 56 (8.2 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 57 (9.2 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 58 (9.8 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 59 (8.9 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 60 (7.5 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 61 (5.6 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 62 (5.9 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 63 (8.4 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 64 (9.4 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 65 (8.3 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 66 (8.1 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 67 (8.3 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 68 (8.7 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 69 (9.3 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 70 (8.2 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 71 (8.4 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 72 (7.9 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 73 (9.2 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 74 (8.5 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 75 (8.1 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
Step 76 (9.3 FPS): Map Position (1749.0,888.0) Lane Orientation (-1.0,-0.0) 0.00 km/h, 0% other lane, 0% off-road
